time,open,high,low,close,Volume,Volume MA,RSI,Plot,Tops,Bottoms,Bearish Divergence2,Bullish Divergence2,Bullish Divergence2,Bearish Divergence2,Bearish Divergence2,Bullish Divergence2,Bearish Divergence2,Bullish Divergence2
1675210800,39.9,39.91,39.86,39.87,381,3593.85,50.06284030509915,0.01078779433732198,NaN,0.01078779433732198,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675211100,39.86,39.89,39.84,39.85,588,2258.25,46.614530774666314,0.0071680236316213515,0.0071680236316213515,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675211400,39.88,39.9,39.85,39.9,494,998.05,54.965887864955036,0.007251383603675831,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675211700,39.9,39.9,39.9,39.9,624,936.2,54.965887864955036,0.012235548024426899,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675212000,39.9,39.91,39.9,39.91,403,816.95,56.54275654408243,0.017000662839141763,NaN,0.017000662839141763,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675212300,39.89,39.9,39.86,39.86,522,817.6,47.57319994896797,0.016539420321608326,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675212600,39.86,39.9,39.86,39.86,352,793.65,47.57319994896796,0.01098873206880071,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675212900,39.86,39.9,39.84,39.9,441,793.35,54.29947388904397,0.010515384721986125,0.010515384721986125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675213200,39.88,39.9,39.87,39.89,585,766.8,52.48649210665335,0.013025226520225253,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675213500,39.87,39.89,39.87,39.89,858,651.8,52.48649210665336,0.01384285900488929,NaN,0.01384285900488929,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675213800,39.9,39.9,39.87,39.88,318,602.5,50.52983352241302,0.01332554420284639,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675214100,39.87,39.89,39.84,39.87,401,563.75,48.579515788925725,0.010768150317246462,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675214400,39.87,39.89,39.87,39.88,270,549.5,50.631582121459154,0.008641792988763898,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675214700,39.84,39.91,39.84,39.87,532,561,48.5452351964351,0.006877331788521176,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675215000,39.87,39.87,39.85,39.87,64,536.75,48.5452351964351,0.004416359149808623,0.004416359149808623,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675215300,39.87,39.9,39.86,39.9,174,462.9,54.997241518648416,0.005438438029160487,NaN,0.005438438029160487,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675215600,39.9,39.9,39.86,39.86,126,453.9,46.60586546673877,0.00517707670215764,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675215900,39.88,39.88,39.86,39.86,172,417.75,46.60586546673878,0.0009124923662133987,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675216200,39.87,39.88,39.87,39.88,19,373.9,50.946026468130555,-0.00043872142421418964,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
